,Per item,Per minute,Reference amount
Salt Pot,13.00,5.15,4
Baked Apple,6.57,4.81,7
Tunic,11.00,4.78,4
Socks,6.00,4.74,5
Berry Pie,10.67,4.35,3
Salted Fish,17.50,4.26,2
Trousers,8.20,4.00,5
Apple Pie,9.75,3.87,4
Honey Cookie,6.57,0.95,7
Stone,0.53,0.35,62
Clay,0.51,0.34,59
Apple,0.63,0.31,62
Statuette,2.33,0.20,15
Pottery,2.26,0.20,19
Flour,2.11,0.11,19
Bread,3.56,0.09,9
Sugar,2.07,0.07,15
Fish Pie,12.33,,3
Cotton,,,
Egg,,,
Figurine,,,
Fish,,,
Honey,,,
Honey Pot,,,
Mushroom,,,
Raspberry,,,
Salt,,,
Wheat,,,
Wood,,,
Wool,,,
